Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,Over 23 y/o,1,Management (evening),Evening,Sec Ed - 12th,133.1,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Unskilled workers,143.2,No,No,No,Yes,Male,No,35,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
Single,1st phase - general,2,Multimedia Design,Daytime,Sec Ed - 12th,131.0,Brazilian,Basic 3rd cycle,Sec Ed - 12th,Admin staff,Skilled workers,131.4,Yes,No,No,Yes,Male,No,20,Yes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Graduate
Single,Change course,1,Marketing Mgmt,Daytime,Sec Ed - 12th,141.0,Portuguese,Degree,Bachelor,Scientists,Scientists,133.3,Yes,No,No,Yes,Male,No,18,No,0,6,13,4,13.75,0,0,6,8,5,11.2,0,13.9,-0.3,0.79,Enrolled
Single,1st phase - general,1,Journalism,Daytime,Sec Ed - 12th,120.0,Portuguese,Basic 3rd cycle,Basic 1st cycle,Unskilled workers,Unskilled workers,118.3,No,No,Yes,No,Male,Yes,18,No,0,6,11,5,12.166666666666666,0,0,6,15,3,12.0,0,13.9,-0.3,0.79,Dropout
Single,Tech diploma,1,Agronomy,Daytime,Tech spec,140.0,Portuguese,Bachelor,Sec Ed - 12th,Admin staff,Farmers,140.0,No,No,No,Yes,Male,No,21,No,0,6,12,5,12.142857142857142,0,0,6,11,5,11.666666666666666,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general,1,Tourism,Daytime,Sec Ed - 12th,132.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Farmers,Farmers,124.7,Yes,No,No,Yes,Male,No,21,No,0,6,9,6,12.0,0,0,6,8,5,11.6,0,13.9,-0.3,0.79,Graduate
Married,Over 23 y/o,2,Management,Daytime,Sec Ed - 12th,130.0,Portuguese,Basic 3rd cycle,Basic 1st cycle,Admin staff,Skilled workers,140.0,No,No,No,Yes,Male,No,34,No,0,5,10,3,11.666666666666666,1,0,5,7,4,12.75,0,9.4,-0.8,-3.12,Graduate
Divorced,Over 23 y/o,1,Equinculture,Daytime,Sec Ed - 12th,140.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Farmers,Skilled workers,150.0,Yes,No,No,Yes,Male,No,34,No,0,6,9,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,2nd phase - general,2,Marketing Mgmt,Daytime,Sec Ed - 12th,110.0,Portuguese,Degree,Degree,Admin staff,Military,115.6,Yes,No,No,Yes,Male,No,21,No,0,6,10,6,11.875,0,0,6,8,5,12.0,0,11.1,0.6,2.02,Graduate
Single,Change course,1,Journalism,Daytime,Sec Ed - 12th,140.0,Portuguese,Degree,Basic 1st cycle,Technicians,Skilled workers,116.9,No,No,No,Yes,Male,No,32,No,6,11,15,7,11.285714285714286,0,5,7,10,6,12.333333333333334,0,13.9,-0.3,0.79,Enrolled
Single,2nd phase - general,2,Tourism,Daytime,Sec Ed - 12th,130.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Services/Sales,Skilled workers,123.4,Yes,No,No,Yes,Male,No,30,No,0,6,17,2,10.0,0,0,6,15,3,11.333333333333334,0,7.6,2.6,0.32,Dropout
Single,1st phase - general,1,Multimedia Design,Daytime,Sec Ed - 12th,137.0,Portuguese,Sec Ed - 12th,Degree,Technicians,Skilled workers,146.5,Yes,No,Yes,Yes,Male,No,19,No,6,12,13,11,12.0,0,4,11,15,10,11.181818181818182,0,8.9,1.4,3.51,Enrolled
Single,Change inst/course,1,Journalism,Daytime,Sec Ed - 12th,158.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Machine operators,Machine operators,117.1,Yes,No,No,Yes,Male,No,20,No,1,7,7,6,13.833333333333334,0,1,6,7,5,13.0,0,8.9,1.4,3.51,Dropout
Single,1st phase - general,1,Comm Design,Daytime,Sec Ed - 12th,124.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Unskilled workers,Skilled workers,113.9,Yes,No,No,Yes,Male,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
Single,1st phase - general,1,Tourism,Daytime,Sec Ed - 12th,136.0,Portuguese,Degree,Degree,Scientists,Scientists,128.7,No,No,No,Yes,Male,No,19,No,0,6,7,6,14.428571428571429,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
Single,2nd phase - general,3,Nursing,Daytime,Sec Ed - 12th,142.0,Portuguese,Degree,Degree,Technicians,Technicians,132.9,Yes,No,No,Yes,Male,No,18,No,0,7,8,5,14.2,0,0,7,9,6,12.4,0,12.4,0.5,1.79,Dropout
Single,Over 23 y/o,1,Management (evening),Evening,Sec Ed - 12th,150.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Admin staff,Machine operators,123.0,No,No,No,Yes,Male,No,27,No,0,5,8,4,11.5,0,0,5,9,3,10.333333333333334,0,12.7,3.7,-1.7,Dropout
Single,Over 23 y/o,1,Journalism,Daytime,Other 11th,120.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Unskilled workers,Unskilled workers,129.8,Yes,No,No,Yes,Male,No,52,No,0,6,7,5,13.0,0,0,6,6,6,15.0,0,9.4,-0.8,-3.12,Graduate
Married,Change course,1,Agronomy,Daytime,Sec Ed - 12th,149.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Admin staff,Services/Sales,156.1,Yes,No,No,No,Male,No,29,No,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,Change inst/course,1,Agronomy,Daytime,Tech spec,130.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Admin staff,Admin staff,120.0,Yes,No,Yes,No,Male,No,22,No,0,6,12,3,11.333333333333334,0,0,6,13,2,11.0,0,8.9,1.4,3.51,Dropout
Single,Change course,1,Vet Nursing,Daytime,Sec Ed - 12th,110.0,Mozambican,Basic 2nd cycle,Basic 2nd cycle,Unskilled workers,Farmers,117.2,Yes,No,No,Yes,Male,No,28,Yes,13,18,45,18,12.5,12,10,13,26,12,11.428571428571429,6,15.5,2.8,-4.06,Graduate
Single,Over 23 y/o,1,Marketing Mgmt,Daytime,Higher Ed (ongoing),133.1,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Other,Technicians,107.0,Yes,No,No,Yes,Male,No,30,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
Single,1st phase - general,2,Nursing,Daytime,Sec Ed - 12th,134.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Services/Sales,Technicians,128.4,Yes,No,No,Yes,Female,No,18,No,0,7,7,7,13.471428571428572,0,0,8,9,8,13.944444444444445,0,16.2,0.3,-0.92,Graduate
Single,1st phase - general,2,Marketing Mgmt,Daytime,Sec Ed - 12th,130.0,Portuguese,Basic 2nd cycle,Basic 1st cycle,Services/Sales,Services/Sales,123.4,Yes,No,No,Yes,Female,No,21,No,0,5,5,4,11.75,0,0,5,5,3,13.333333333333334,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general,1,Comm Design,Daytime,Sec Ed - 12th,141.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Unskilled workers,126.7,Yes,No,Yes,Yes,Female,Yes,20,No,0,6,9,6,13.333333333333334,0,0,6,10,6,14.666666666666666,0,12.7,3.7,-1.7,Graduate
Single,Transfer,1,Nursing,Daytime,Sec Ed - 12th,123.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Technicians,Technicians,123.0,Yes,No,No,Yes,Female,Yes,21,No,0,8,8,8,13.105,0,0,8,8,8,13.105,0,9.4,-0.8,-3.12,Graduate
Married,Over 23 y/o,1,Management (evening),Evening,Basic 3rd cycle,133.1,Portuguese,Basic 3rd cycle,Basic 1st cycle,Skilled workers,Unskilled workers,137.2,No,No,Yes,No,Female,No,32,No,0,5,5,0,0.0,0,0,5,6,0,0.0,0,10.8,1.4,1.74,Dropout
Single,1st phase - general,3,Comm Design,Daytime,Sec Ed - 12th,122.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Unskilled workers,125.9,Yes,No,No,Yes,Male,Yes,20,No,0,6,6,6,15.5,0,0,6,7,6,12.166666666666666,0,12.4,0.5,1.79,Graduate
Single,1st phase - general,4,Multimedia Design,Daytime,Sec Ed - 12th,132.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Admin staff,Services/Sales,138.0,Yes,No,Yes,No,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,International,1,Marketing Mgmt,Daytime,Sec Ed - 12th,133.1,Brazilian,Sec Ed - 12th,Sec Ed - 12th,Unskilled workers,Services/Sales,128.2,No,No,Yes,No,Male,No,18,Yes,0,6,6,4,11.25,0,0,6,7,3,12.333333333333334,0,8.9,1.4,3.51,Dropout
Single,Change course,1,Management (evening),Evening,Sec Ed - 12th,130.0,Portuguese,Basic 1st cycle,Bachelor,Unskilled workers,Admin staff,126.5,Yes,No,No,No,Male,No,23,No,10,15,24,12,11.0,0,10,14,21,11,11.363636363636363,1,7.6,2.6,0.32,Dropout
Single,1st phase - general,1,Tourism,Daytime,Sec Ed - 12th,111.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Technicians,Technicians,112.4,Yes,No,No,Yes,Male,No,20,No,0,6,10,6,12.333333333333334,0,0,6,9,4,13.0,0,12.4,0.5,1.79,Graduate
Married,Change course,2,Management,Daytime,Sec Ed - 12th,133.1,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Unskilled workers,109.0,Yes,No,No,Yes,Female,No,46,No,4,9,18,8,11.375,2,0,5,11,5,11.8,0,9.4,-0.8,-3.12,Graduate
Single,2nd phase - general,1,Agronomy,Daytime,Sec Ed - 12th,125.0,Portuguese,Degree,Degree,Scientists,Scientists,100.0,No,No,No,Yes,Male,No,27,No,16,18,19,18,12.22222222222222,0,9,12,15,12,12.384615384615383,0,15.5,2.8,-4.06,Graduate
Single,Azores,1,Multimedia Design,Daytime,Sec Ed - 12th,137.0,Portuguese,Degree,Basic 3rd cycle,Executives,Military,144.7,Yes,No,No,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Enrolled
Married,Change course,3,Social Service (evening),Evening,Basic 3rd cycle,100.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Unskilled workers,120.0,Yes,No,No,Yes,Male,No,41,No,5,9,11,9,12.0,0,3,7,8,6,12.0,0,9.4,-0.8,-3.12,Graduate
Single,International,1,Management,Daytime,Sec Ed - 12th,133.1,Angolan,Sec Ed - 12th,Degree,Unskilled agriculture,Technicians,100.0,No,No,Yes,Yes,Male,No,40,Yes,0,5,10,1,11.0,0,0,5,10,1,10.0,0,11.1,0.6,2.02,Enrolled
Married,Tech diploma,1,Social Service (evening),Evening,Tech spec,150.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Services/Sales,Services/Sales,154.0,No,No,No,Yes,Male,No,37,No,12,16,17,16,14.125,0,6,11,14,10,13.0,0,12.4,0.5,1.79,Graduate
Single,1st phase - general,4,Management,Daytime,Sec Ed - 12th,120.0,Portuguese,Basic 2nd cycle,Basic 2nd cycle,Services/Sales,Military,111.3,No,No,No,Yes,Male,No,20,No,0,5,8,5,10.2,0,0,5,7,5,11.2,0,12.4,0.5,1.79,Enrolled
Single,Tech diploma,1,Equinculture,Daytime,Tech spec,150.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Admin staff,Admin staff,150.0,Yes,No,No,Yes,Female,No,20,No,0,5,7,4,12.0,1,0,5,6,4,12.4,0,10.8,1.4,1.74,Enrolled
Single,Other higher courses,1,Management (evening),Evening,Degree (1st cycle),133.1,Portuguese,Sec Ed - 12th,Basic 1st cycle,Admin staff,Executives,100.0,No,No,No,Yes,Female,No,26,No,8,9,11,9,12.333333333333334,0,4,7,7,7,12.571428571428571,0,12.4,0.5,1.79,Graduate
Married,Over 23 y/o,1,Social Service (evening),Evening,Sec Ed - 12th,133.1,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Skilled workers,162.5,No,No,No,Yes,Male,No,54,No,4,9,9,9,14.333333333333334,0,2,7,7,7,13.857142857142858,0,8.9,1.4,3.51,Graduate
Single,2nd phase - general,5,Marketing Mgmt,Daytime,Sec Ed - 12th,132.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Services/Sales,Services/Sales,134.1,Yes,No,No,Yes,Male,No,21,No,0,6,6,6,15.166666666666666,0,0,6,9,6,14.0,0,10.8,1.4,1.74,Graduate
Single,1st phase - general,1,Vet Nursing,Daytime,Sec Ed - 12th,134.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Unskilled workers,Unskilled workers,133.0,Yes,No,No,Yes,Female,Yes,20,No,0,6,8,6,15.142857142857142,0,0,6,8,6,15.142857142857142,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general,6,Journalism,Daytime,Sec Ed - 12th,126.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Services/Sales,Services/Sales,119.0,Yes,No,No,Yes,Female,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
Single,1st phase - general,3,Nursing,Daytime,Sec Ed - 12th,136.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Admin staff,Unskilled workers,131.1,Yes,No,No,Yes,Female,No,19,No,0,7,9,6,13.411428571428573,0,0,8,12,7,13.294444444444444,0,15.5,2.8,-4.06,Enrolled
Single,1st phase - general,2,Social Service,Daytime,Sec Ed - 12th,129.0,Portuguese,Basic 2nd cycle,Sec Ed - 12th,Admin staff,Military,129.4,Yes,No,No,Yes,Female,No,18,No,0,6,7,6,12.333333333333334,0,0,6,7,6,12.166666666666666,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general,1,Vet Nursing,Daytime,Sec Ed - 12th,126.0,Portuguese,Degree,Sec Ed - 12th,Scientists,Machine operators,123.9,Yes,No,No,Yes,Female,No,19,No,0,6,13,4,11.8,0,0,6,18,4,12.2,0,12.4,0.5,1.79,Enrolled
Single,Tech diploma,1,Vet Nursing,Daytime,Tech spec,140.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Admin staff,Skilled workers,140.0,Yes,No,Yes,Yes,Female,No,22,No,2,6,9,6,12.0,0,1,6,12,3,12.0,0,13.9,-0.3,0.79,Dropout
Single,Change course,1,Vet Nursing,Daytime,Sec Ed - 12th,162.0,Portuguese,Bachelor,Sec Ed - 12th,Admin staff,Admin staff,162.0,No,No,No,Yes,Female,No,19,No,0,6,7,6,15.0,0,0,6,8,6,15.625,0,12.4,0.5,1.79,Graduate
Single,1st phase - general,1,Multimedia Design,Daytime,Sec Ed - 12th,148.0,Portuguese,Degree,Bachelor,Admin staff,Scientists,131.6,Yes,No,No,Yes,Female,No,21,No,6,12,12,8,13.875,0,4,11,13,9,12.7,1,8.9,1.4,3.51,Dropout
Single,2nd phase - general,1,Basic Education,Daytime,Sec Ed - 12th,119.0,Portuguese,Degree,Degree,Health tech,Health tech,110.6,No,No,No,Yes,Female,No,20,No,0,7,9,6,11.833333333333334,0,0,7,7,6,14.333333333333334,0,11.1,0.6,2.02,Enrolled
Single,2nd phase - general,3,Journalism,Daytime,Sec Ed - 12th,123.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Services/Sales,Services/Sales,117.4,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,12.5,0,0,6,6,6,13.833333333333334,0,16.2,0.3,-0.92,Graduate
Single,2nd phase - general,1,Journalism,Daytime,Sec Ed - 12th,150.0,Portuguese,Basic 2nd cycle,Basic 2nd cycle,Skilled workers,Skilled workers,137.8,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,15.0,0,0,6,6,6,15.5,0,8.9,1.4,3.51,Graduate
Single,2nd phase - general,1,Marketing Mgmt,Daytime,Sec Ed - 12th,113.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Services/Sales,Admin staff,106.7,Yes,No,Yes,Yes,Female,No,20,No,0,6,10,2,11.666666666666666,0,0,6,10,4,10.5,0,15.5,2.8,-4.06,Dropout
Single,1st phase - general,1,Nursing,Daytime,Sec Ed - 12th,152.0,Portuguese,Basic 3rd cycle,Basic 1st cycle,Technicians,Machine operators,156.9,No,No,No,Yes,Female,Yes,18,No,0,7,10,7,14.668,0,0,8,8,8,14.63375,0,15.5,2.8,-4.06,Graduate
Single,1st phase - general,3,Nursing,Daytime,Sec Ed - 12th,154.0,Portuguese,Degree,Degree,Executives,Technicians,129.0,Yes,No,No,Yes,Female,No,18,No,0,8,9,6,13.345,2,0,8,9,6,13.345,2,9.4,-0.8,-3.12,Enrolled
Single,1st phase - general,2,Journalism,Daytime,Sec Ed - 12th,130.0,Portuguese,Sec Ed - 12th,Unknown,Unskilled workers,Unskilled workers,124.8,Yes,No,No,Yes,Female,Yes,20,No,0,6,7,5,12.8,0,0,6,6,6,12.333333333333334,0,12.4,0.5,1.79,Graduate
Single,1st phase - general,1,Social Service,Daytime,Sec Ed - 12th,121.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Executives,Executives,115.1,Yes,No,No,Yes,Female,No,19,No,0,6,10,6,10.833333333333334,0,0,6,7,6,12.142857142857142,0,11.1,0.6,2.02,Graduate
Single,1st phase - general,1,Comm Design,Daytime,Sec Ed - 12th,153.0,Portuguese,Degree,Degree,Executives,Scientists,146.7,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,13.666666666666666,0,0,6,6,5,14.0,0,12.7,3.7,-1.7,Graduate
Single,1st phase - general,1,Nursing,Daytime,Sec Ed - 12th,148.0,Portuguese,Degree,Sec Ed - 12th,Admin staff,Services/Sales,132.8,No,No,No,Yes,Female,No,18,No,0,8,8,7,14.537142857142856,0,0,8,8,7,14.537142857142856,0,10.8,1.4,1.74,Graduate
Single,Azores,3,Vet Nursing,Daytime,Sec Ed - 12th,143.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Student,Other,159.1,No,No,Yes,Yes,Female,Yes,18,No,0,5,5,5,14.4,0,0,5,5,5,14.0,0,7.6,2.6,0.32,Dropout
Single,2nd phase - general,3,Multimedia Design,Daytime,Sec Ed - 12th,147.0,Portuguese,Basic 3rd cycle,Sec Ed - 12th,Services/Sales,Admin staff,137.6,Yes,No,No,Yes,Female,Yes,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Graduate
Single,2nd phase - general,1,Journalism,Daytime,Sec Ed - 12th,138.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Unskilled workers,Unskilled workers,124.0,No,No,No,Yes,Female,Yes,19,No,0,6,6,6,13.166666666666666,0,0,6,6,6,13.833333333333334,0,11.1,0.6,2.02,Graduate
Single,Over 23 y/o,1,Nursing,Daytime,Sec Ed - 12th,120.0,Portuguese,Degree,Degree,Scientists,Scientists,149.0,No,No,No,No,Male,No,36,No,0,6,15,2,11.5,0,0,7,9,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,2nd phase - general,1,Social Service,Daytime,Sec Ed - 12th,145.0,Portuguese,Sec Ed - 12th,Degree (1st cycle),Unskilled workers,Scientists,129.6,No,No,No,Yes,Female,Yes,19,No,0,6,7,6,11.333333333333334,0,0,6,7,6,12.428571428571429,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general,3,Social Service,Daytime,Sec Ed - 12th,118.0,Portuguese,Degree,Sec Ed - 12th,Scientists,Services/Sales,110.0,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.0,0,0,6,6,5,13.6,0,8.9,1.4,3.51,Graduate
Single,1st phase - general,3,Journalism,Daytime,Sec Ed - 12th,121.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Technicians,Technicians,116.1,No,No,No,Yes,Female,Yes,18,No,0,6,6,6,13.166666666666666,0,0,6,6,6,12.166666666666666,0,12.4,0.5,1.79,Graduate
Single,1st phase - general,3,Journalism,Daytime,Sec Ed - 12th,135.0,Portuguese,Basic 2nd cycle,Basic 2nd cycle,Services/Sales,Machine operators,133.3,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,14.833333333333334,0,0,6,6,6,14.166666666666666,0,8.9,1.4,3.51,Graduate
Single,Tech diploma,1,Comm Design,Daytime,Sec Ed - 12th,140.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Unskilled workers,Machine operators,144.3,Yes,No,No,Yes,Female,No,19,No,2,7,7,7,13.0,0,5,9,9,9,13.22222222222222,0,12.4,0.5,1.79,Graduate
Single,3rd phase - general,3,Nursing,Daytime,Sec Ed - 12th,145.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Admin staff,Machine operators,133.6,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,13.087142857142856,0,0,8,8,8,12.95,0,11.1,0.6,2.02,Graduate
Single,1st phase - general,1,Equinculture,Daytime,Sec Ed - 12th,133.0,Portuguese,Sec Ed - 12th,Basic 1st cycle,Unskilled workers,Unskilled workers,123.2,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.333333333333334,0,0,6,7,6,13.666666666666666,0,8.9,1.4,3.51,Graduate
Single,1st phase - general,1,Basic Education,Daytime,Sec Ed - 12th,127.0,Portuguese,Degree,Sec Ed - 12th,Technicians,Skilled workers,137.2,Yes,No,No,Yes,Female,No,18,No,0,6,7,6,12.166666666666666,0,0,6,10,4,12.75,0,10.8,1.4,1.74,Enrolled
Single,Short cycle diploma,1,Comm Design,Daytime,Prof higher tech,130.0,Portuguese,Degree (1st cycle),Basic 3rd cycle,Technicians,Services/Sales,130.0,Yes,No,No,No,Female,Yes,22,No,0,6,8,6,11.0,0,0,6,10,4,12.0,0,8.9,1.4,3.51,Enrolled
Single,1st phase - general,2,Social Service,Daytime,Sec Ed - 12th,117.0,Portuguese,Basic 3rd cycle,Sec Ed - 12th,Unskilled workers,Machine operators,110.0,Yes,No,Yes,No,Female,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
Single,2nd phase - general,4,Management,Daytime,Sec Ed - 12th,125.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Services/Sales,Services/Sales,118.0,Yes,No,No,Yes,Female,No,19,No,0,5,7,5,13.6,0,0,5,6,5,12.2,0,8.9,1.4,3.51,Graduate
Single,1st phase - general,1,Journalism,Daytime,Sec Ed - 12th,141.0,Portuguese,Basic 2nd cycle,Basic 2nd cycle,Unskilled workers,Unskilled workers,128.4,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,15.5,0,0,6,6,6,14.0,0,11.1,0.6,2.02,Graduate
Single,1st phase - general,3,Basic Education,Daytime,Sec Ed - 12th,122.0,Portuguese,Sec Ed - 12th,Degree,Services/Sales,Technicians,113.6,No,No,No,Yes,Female,No,19,No,0,7,7,7,13.857142857142858,0,0,7,7,7,14.285714285714286,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general,2,Management,Daytime,Sec Ed - 12th,118.0,Portuguese,Basic 3rd cycle,Sec Ed - 12th,Unskilled workers,Technicians,113.5,Yes,No,Yes,Yes,Female,No,20,No,0,5,10,2,11.5,0,0,5,8,3,10.0,0,11.1,0.6,2.02,Enrolled
Single,2nd phase - general,3,Comm Design,Daytime,Sec Ed - 12th,142.0,Portuguese,Sec Ed - 12th,Basic 2nd cycle,Technicians,Services/Sales,146.9,Yes,No,No,Yes,Female,Yes,18,No,0,6,6,6,13.0,0,0,6,6,6,12.166666666666666,0,16.2,0.3,-0.92,Graduate
Single,1st phase - general,1,Equinculture,Daytime,Sec Ed - 12th,143.0,Portuguese,Degree,Degree,Scientists,Military,141.3,No,No,Yes,No,Female,No,23,No,0,6,10,6,14.0,0,0,6,11,4,13.0,0,11.1,0.6,2.02,Enrolled
Single,1st phase - general,4,Journalism,Daytime,Sec Ed - 12th,143.0,Portuguese,Sec Ed - 12th,Degree,Admin staff,Skilled workers,129.7,Yes,No,No,Yes,Female,No,20,No,0,4,4,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
Single,1st phase - general,5,Comm Design,Daytime,Sec Ed - 12th,123.0,Portuguese,Degree,Sec Ed - 12th,Unskilled workers,Technicians,121.3,Yes,No,No,Yes,Female,No,20,No,0,6,6,6,11.166666666666666,0,0,6,9,6,11.5,0,12.4,0.5,1.79,Enrolled
Single,1st phase - general,1,Social Service,Daytime,Sec Ed - 12th,115.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Unskilled workers,Admin staff,109.1,Yes,No,Yes,No,Female,Yes,22,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
Single,2nd phase - general,2,Basic Education,Daytime,Sec Ed - 12th,112.0,Portuguese,Basic 3rd cycle,Basic 2nd cycle,Services/Sales,Skilled workers,107.1,Yes,No,No,Yes,Female,Yes,18,No,0,7,8,7,12.142857142857142,0,0,7,9,6,13.666666666666666,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general,1,Nursing,Daytime,Sec Ed - 12th,135.0,Portuguese,Basic 3rd cycle,Basic 2nd cycle,Unskilled workers,Unskilled workers,129.2,No,No,No,Yes,Female,Yes,18,No,0,7,7,7,14.145714285714286,0,0,8,9,8,13.627777777777778,0,11.1,0.6,2.02,Graduate
Single,1st phase - general,1,Nursing,Daytime,Sec Ed - 12th,162.0,Portuguese,Degree,Master,Technicians,Technicians,154.1,No,No,No,Yes,Female,No,18,No,0,7,7,7,14.45,0,0,8,9,8,14.144444444444444,0,11.1,0.6,2.02,Graduate
Single,1st phase - general,1,Basic Education,Daytime,Sec Ed - 12th,143.0,Portuguese,Basic 3rd cycle,Degree,Admin staff,Admin staff,147.2,No,No,No,Yes,Female,No,18,No,0,7,7,7,15.714285714285714,0,0,7,7,7,15.0,0,11.1,0.6,2.02,Graduate
Single,Change inst/course,1,Management,Daytime,Sec Ed - 12th,130.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Admin staff,Admin staff,120.0,No,No,No,Yes,Female,No,21,No,0,5,9,5,12.8,0,0,5,11,3,12.666666666666666,0,11.1,0.6,2.02,Enrolled
Single,2nd phase - general,1,Comm Design,Daytime,Sec Ed - 12th,136.0,Portuguese,Sec Ed - 12th,Basic 1st cycle,Admin staff,Services/Sales,130.8,No,No,No,Yes,Female,No,20,No,0,6,6,6,12.5,0,0,6,8,6,11.5,0,10.8,1.4,1.74,Enrolled
Single,Madeira,1,Comm Design,Daytime,Sec Ed - 12th,125.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Admin staff,Admin staff,120.8,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,14.5,0,0,6,6,6,12.833333333333334,0,12.4,0.5,1.79,Graduate
